"","CT_ID_10","year","parcelpct","privateconflict","socdis","udensity","violence","ISD_nbhd","rperunit","udensity_lag1","udensity_lag2","parcelpct_lag1","parcelpct_lag2","rperunit_lag1","rperunit_lag2","medincome","udensity_lead1","udensity_lead2","parcelpct_lead1","parcelpct_lead2","rperunit_lead1","rperunit_lead2"
"25025000402-2012","25025000402","2012",0,11.3599480688088,4.86854917234664,0,21.7461863031483,1,0.00671140939597315,0.00333778371161549,NA,0.00863557858376511,NA,0.00667556742323097,NA,57064,0.00135685210312076,0.00470114170584285,0.00345423143350604,0.0120898100172712,0.00474898236092266,0.0523841504365346
"25025000402-2013","25025000402","2013",0.00345423143350604,11.6498740554156,8.18639798488665,0.00135685210312076,23.2997481108312,1,0.00474898236092266,0,0.00333778371161549,0,0.00863557858376511,0.00671140939597315,0.00667556742323097,55756,0.00470114170584285,0.00540175557056043,0.0120898100172712,0.0138169257340242,0.0523841504365346,0.133018230925051
"25025000402-2014","25025000402","2014",0.0120898100172712,12.2062862374123,5.18767165090021,0.00470114170584285,18.6145865120537,1,0.0523841504365346,0.00135685210312076,0,0.00345423143350604,0,0.00474898236092266,0.00671140939597315,54186,0.00540175557056043,0.00902151283830673,0.0138169257340242,0.0207253886010363,0.133018230925051,0.160999306037474
"25025000402-2015","25025000402","2015",0.0138169257340242,7.86942582337511,5.82920431361119,0.00540175557056043,13.4071699213057,1,0.133018230925051,0.00470114170584285,0.00135685210312076,0.0120898100172712,0.00345423143350604,0.0523841504365346,0.00474898236092266,51776,0.00902151283830673,0.0133868808567604,0.0207253886010363,0.0310880829015544,0.160999306037474,0.20281124497992
"25025000402-2016","25025000402","2016",0.0207253886010363,7.28650539201399,4.37190323520839,0.00902151283830673,11.3669484115418,1,0.160999306037474,0.00540175557056043,0.00470114170584285,0.0138169257340242,0.0120898100172712,0.133018230925051,0.0523841504365346,60214,0.0133868808567604,NA,0.0310880829015544,NA,0.20281124497992,NA
"25025000402-2017","25025000402","2017",0.0310880829015544,9.03526668609735,4.66336345088895,0.0133868808567604,12.5327892742641,1,0.20281124497992,0.00902151283830673,0.00540175557056043,0.0207253886010363,0.0138169257340242,0.160999306037474,0.133018230925051,69661,NA,NA,NA,NA,NA,NA
"25025000502-2011","25025000502","2011",0.0214285714285714,3.31513260530421,3.1201248049922,0.00200300450676014,9.94539781591264,1,0,NA,NA,NA,NA,NA,NA,46205,0.0010136847440446,0.00258397932816537,0.0142857142857143,0.0285714285714286,0,0.00361757105943152
"25025000502-2012","25025000502","2012",0.0142857142857143,4.29722470904208,2.6857654431513,0.0010136847440446,7.87824529991047,1,0,0.00200300450676014,NA,0.0214285714285714,NA,0,NA,43064,0.00258397932816537,0.00692225772097977,0.0285714285714286,0.05,0.00361757105943152,0.00372736954206603
"25025000502-2013","25025000502","2013",0.0285714285714286,4.25196850393701,3.1496062992126,0.00258397932816537,9.60629921259843,1,0.00361757105943152,0.0010136847440446,0.00200300450676014,0.0142857142857143,0.0214285714285714,0,0,43672,0.00692225772097977,0.00633579725448786,0.05,0.05,0.00372736954206603,0.0454065469904963
"25025000502-2014","25025000502","2014",0.05,2.37127371273713,3.04878048780488,0.00692225772097977,7.96070460704607,1,0.00372736954206603,0.00258397932816537,0.0010136847440446,0.0285714285714286,0.0142857142857143,0.00361757105943152,0,36667,0.00633579725448786,0.00904255319148936,0.05,0.107142857142857,0.0454065469904963,0.0808510638297872
"25025000502-2015","25025000502","2015",0.05,3.57082128889645,4.08093861588165,0.00633579725448786,6.97160346879782,1,0.0454065469904963,0.00692225772097977,0.00258397932816537,0.05,0.0285714285714286,0.00372736954206603,0.00361757105943152,45230,0.00904255319148936,0.0127186009538951,0.107142857142857,0.135714285714286,0.0808510638297872,0.112877583465819
"25025000502-2016","25025000502","2016",0.107142857142857,3.74086039789152,4.25097772487672,0.00904255319148936,2.7206257439211,1,0.0808510638297872,0.00633579725448786,0.00692225772097977,0.05,0.05,0.0454065469904963,0.00372736954206603,51652,0.0127186009538951,NA,0.135714285714286,NA,0.112877583465819,NA
"25025000502-2017","25025000502","2017",0.135714285714286,3.91089950688658,4.08093861588165,0.0127186009538951,5.4412514878422,1,0.112877583465819,0.00904255319148936,0.00633579725448786,0.107142857142857,0.05,0.0808510638297872,0.0454065469904963,57621,NA,NA,NA,NA,NA,NA
"25025000503-2011","25025000503","2011",0,2.57864878803507,2.06291903042806,0,8.25167612171222,1,0,NA,NA,NA,NA,NA,NA,49531,0,0.00388500388500389,0,0.0555555555555556,0,0
